concentration,trial,signal_column,min,max,mean,std,rms,mad,spectral_entropy,snr
0.1,Multi mix vary-MeOH-0.1-1,transmittance,-0.231507622811972,1.0807453416148873,0.57872726977123,0.24816049311949379,0.6296895132699705,0.2828354865175346,11.763048627418671,5.0035033310548025
0.1,Multi mix vary-MeOH-0.1-2,transmittance,-0.231507622811972,1.0807453416148873,0.5649147618382593,0.25224691488871803,0.6186737380992128,0.2965976409537969,11.758488937021482,5.163022135542457
0.1,Multi mix vary-MeOH-0.1-3,transmittance,-0.231507622811972,1.0807453416148873,0.54748919906391,0.2577636627681315,0.6051334802630612,0.3018392417748054,11.751939861565644,5.414911972835782
0.1,Multi mix vary-MeOH-0.1-4,transmittance,-0.1973455388055141,1.0807453416148873,0.5477513660098572,0.25758403922584444,0.6052942228615485,0.30945226363621153,11.744810185062224,5.3059028440965585
0.1,Multi mix vary-MeOH-0.1-5,transmittance,-0.231507622811972,1.0807453416148873,0.5475998990922584,0.26421846942510974,0.6080107310493782,0.3092021967212542,11.74832899855303,5.418786126570744
0.5,Multi mix vary-MeOH-0.5-1,transmittance,-0.20793891124469732,1.0807453416148873,0.5509334833546536,0.26101303872477394,0.6096355546272156,0.30491605304921465,11.745755609561193,5.441120090565115
0.5,Multi mix vary-MeOH-0.5-2,transmittance,-0.164134805474629,1.0793356954017754,0.5460491079698246,0.2537486526651918,0.602127899240719,0.3050177114238026,11.738214666261461,5.382610532077132
0.5,Multi mix vary-MeOH-0.5-3,transmittance,-0.02494131450709406,1.0677023205016574,0.5498640727993355,0.2520774303546059,0.6048913368942013,0.2930493652899846,11.688249816928503,5.498436826115348
0.5,Multi mix vary-MeOH-0.5-4,transmittance,-0.18364048141109512,1.0676285765097486,0.5611272893975108,0.2574124449117809,0.6173532228004146,0.29794603702394123,11.743988138958278,5.108915601770792
0.5,Multi mix vary-MeOH-0.5-5,transmittance,-0.1787785355112963,1.0807453416148873,0.5523151735419582,0.2618188564633047,0.6112292242067914,0.3063136176326429,11.737468607825729,5.325192699459186
1.0,Multi mix vary-MeOH-1-1,transmittance,-0.231507622811972,1.0807453416148873,0.5647192452083974,0.25755439259887764,0.6206787341739033,0.2916329689468298,11.755814272953394,5.291876949444408
1.0,Multi mix vary-MeOH-1-2,transmittance,-0.231507622811972,1.0807453416148873,0.5562861732103953,0.2565417262056945,0.612591188142356,0.29008447480229643,11.754813440460454,5.302928046571173
1.0,Multi mix vary-MeOH-1-3,transmittance,-0.18364633065044877,1.0807453416148873,0.5593352646085746,0.25537617319521233,0.6148763518550501,0.29833370800775655,11.745278382297936,5.331654907674313
1.0,Multi mix vary-MeOH-1-4,transmittance,-0.22828606295084353,1.0807453416148873,0.5512596940538976,0.25610273869725386,0.6078452624283837,0.29119042556120506,11.753270493321445,5.506772827600166
1.0,Multi mix vary-MeOH-1-5,transmittance,-0.1557230697544817,1.0807453416148873,0.5401071589065316,0.26569199592254283,0.6019202437195396,0.3182993118580319,11.724853243554975,5.469987410745738
10.0,Multi mix vary-MeOH-10-1,transmittance,-0.12319298766158926,1.077483670818476,0.5269261266144439,0.27332177311319356,0.5935957669716329,0.3191847475192961,11.70095043740615,5.418456252906009
10.0,Multi mix vary-MeOH-10-2,transmittance,-0.1868892168226174,1.077749975828384,0.5459763264925528,0.26221065754274747,0.6056769584682108,0.302220628452829,11.738360555408406,5.488705484839789
10.0,Multi mix vary-MeOH-10-3,transmittance,-0.05428102818840097,1.0696509379073016,0.5482713970081017,0.2597713493721282,0.6066981776236284,0.3011420882441807,11.692431788227173,5.476431617239376
10.0,Multi mix vary-MeOH-10-4,transmittance,-0.18172123019131836,1.0794566386694897,0.5508083382125444,0.26089947274398745,0.60947383891563,0.30354052430279693,11.739143307618495,5.490807825139277
10.0,Multi mix vary-MeOH-10-5,transmittance,-0.2235484904261582,1.0807453416148873,0.5434998025187576,0.26466137049653876,0.6045144136999834,0.3095442685334503,11.745269261180985,5.455218159178633
5.0,Multi mix vary-MeOH-5-1,transmittance,-0.14992667506987534,1.078811039340926,0.5384015509074621,0.2631777016199785,0.5992818474220082,0.30497038826391953,11.724734908506605,5.413397923643031
5.0,Multi mix vary-MeOH-5-2,transmittance,-0.21848430693118226,1.0807453416148873,0.5364846466311245,0.2705696003073407,0.6008524649873683,0.31918720161875125,11.73845859118637,5.420925994429788
5.0,Multi mix vary-MeOH-5-3,transmittance,-0.12041980401285146,1.0782560038250628,0.5400076639930003,0.2632031424706121,0.600736357629187,0.31178774899016504,11.715225748593891,5.595077429585526
5.0,Multi mix vary-MeOH-5-4,transmittance,-0.07429620124197645,1.0777082848741628,0.5573784892516014,0.25409402194624786,0.6125639168847752,0.2927195844525497,11.711325126714662,5.389101549130308
5.0,Multi mix vary-MeOH-5-5,transmittance,-0.10704376583900688,1.066139292114117,0.5495372834425953,0.2568235465270458,0.6065884601145961,0.295925331120551,11.717940121751994,5.371128915308393
